SMILES,SPLIT
Cn1cc(C#N)cc1C(=O)Nc1cccn(Cc2ccccc2)c1=O,train
CN(C(=O)CNc1cccc(C(=O)NC(C)(C)C)c1)C1CC1,train
Cn1cc(C(=O)Nc2ccc(Cl)cc2)c(=O)c2c(N)cccc21,train
CC1c2ccsc2CCN1C(=O)Cn1cnc2ccccc2c1=O,train
COc1ccc(Cl)cc1C(=O)OCCc1cccnc1,train
Cc1nn(-c2ccc(F)cc2)c(C)c1CC(=O)NC(C)CO,train
Cc1nc(CN2CCN(C(=O)CC(C)C3CCCCC3)CC2)n[nH]1,train
O=C(c1cnc(C2CC2)s1)N1CCCCC1Cn1cccn1,train
CN(Cc1nccn1C(F)F)C(=O)C1CC(=O)Nc2ccccc21,train
CNC(=O)C12CCOC1CCN(Cc1scnc1C)C2,train
COC(=O)C(NC(=O)COc1ccccc1)C(C)C,train
CC(C)CC(NC(=O)c1cc(C(N)=O)cs1)c1ccccc1,train
COc1cccc(-c2cn(-c3cccc(N)c3)nn2)c1,train
CCC1(CO)CCN(c2nc3c(s2)c(C)nn3C)CC1,train
CCC(C)n1c(C)cn2c3c(=O)n(CCCO)c(=O)n(C)c3nc12,train
NC(=O)CCNS(=O)(=O)c1cc(N)cc(Cl)c1F,train
COc1ccc(C(C)NC(=O)c2ccc3c(c2)OCCO3)cc1,train
N#CC(C(=O)Cn1ccccc1=O)c1nc(-c2ccccc2)cs1,train
CCC(C)OC(C)C(=O)Nc1ccc(F)cc1N,train
CC(C)CC(C)(NC(=O)c1scnc1C1CC1)C(N)=O,train
CCOc1ccc(NC(=O)c2ccc3c(c2)nnn3C(C)C)cc1,train
Cc1cccc(NC2=NCC(=O)N2c2ccccc2)c1,train
O=C(c1cccc(-n2cccn2)c1)N1CCCC1c1cccnc1,train
CCC(C)Oc1cccc(NC(=O)c2cc(C)no2)c1,train
Cc1nc(CC(=O)N2CCN(CC(C)C)C(=O)C2C)cs1,train
COC(C)(C)C(=O)NCc1ccc(C(=O)Nc2ccc(F)cc2)cc1,train
Cc1cc(=O)c(C2NCCc3cc(F)cc(F)c32)c[nH]1,train
COc1ccc(NC(=O)C(C)OCc2ccccc2)c(N)c1,train
